home_team,away_team,home_goals,away_goals,result,season
Manchester City   ,Wolverhampton Wanderers  ,3,0,H,2018-2019
Arsenal   ,Chelsea  ,2,0,H,2018-2019
AFC Bournemouth   ,West Ham United  ,2,0,H,2018-2019
Liverpool   ,Crystal Palace  ,4,3,H,2018-2019
Manchester United   ,Brighton and Hove Albion  ,2,1,H,2018-2019
Newcastle United   ,Cardiff City  ,3,0,H,2018-2019
Southampton   ,Everton   ,2,1,H,2018-2019
Watford   ,Burnley  ,0,0,D,2018-2019
Wolverhampton Wanderers   ,Leicester City  ,4,3,H,2018-2019
Fulham   ,Tottenham Hotspur  ,1,2,A,2018-2019
Huddersfield Town AFC   ,Manchester City  ,0,3,A,2018-2019
Arsenal   ,Cardiff City  ,2,1,H,2018-2019
Fulham   ,Brighton and Hove Albion  ,4,2,H,2018-2019
Huddersfield Town AFC   ,Everton   ,0,1,A,2018-2019
Manchester United   ,Burnley  ,2,2,D,2018-2019
Newcastle United   ,Manchester City  ,2,1,H,2018-2019
Wolverhampton Wanderers   ,West Ham United  ,3,0,H,2018-2019
AFC Bournemouth   ,Chelsea  ,4,0,H,2018-2019
Liverpool   ,Leicester City  ,1,1,D,2018-2019
Southampton   ,Crystal Palace  ,1,1,D,2018-2019
Tottenham Hotspur   ,Watford  ,2,1,H,2018-2019
Brighton and Hove Albion   ,Watford  ,0,0,D,2018-2019
Burnley   ,Southampton  ,1,1,D,2018-2019
Cardiff City   ,AFC Bournemouth  ,2,0,H,2018-2019
Chelsea   ,Huddersfield Town AFC  ,5,0,H,2018-2019
Crystal Palace   ,Fulham  ,2,0,H,2018-2019
Everton    ,Wolverhampton Wanderers  ,1,3,A,2018-2019
Tottenham Hotspur   ,Newcastle United  ,1,0,H,2018-2019
Leicester City   ,Manchester United  ,0,1,A,2018-2019
Manchester City   ,Arsenal  ,3,1,H,2018-2019
West Ham United   ,Liverpool  ,1,1,D,2018-2019
Everton    ,Manchester City  ,0,2,A,2018-2019
Brighton and Hove Albion   ,Burnley  ,1,3,A,2018-2019
Crystal Palace   ,West Ham United  ,1,1,D,2018-2019
Fulham   ,Manchester United  ,0,3,A,2018-2019
Huddersfield Town AFC   ,Arsenal  ,1,2,A,2018-2019
Liverpool   ,AFC Bournemouth  ,3,0,H,2018-2019
Southampton   ,Cardiff City  ,1,2,A,2018-2019
Watford   ,Everton   ,1,0,H,2018-2019
Manchester City   ,Chelsea  ,6,0,H,2018-2019
Tottenham Hotspur   ,Leicester City  ,3,1,H,2018-2019
Wolverhampton Wanderers   ,Newcastle United  ,1,1,D,2018-2019
Cardiff City   ,Watford  ,1,5,A,2018-2019
West Ham United   ,Fulham  ,3,1,H,2018-2019
AFC Bournemouth   ,Wolverhampton Wanderers  ,1,1,D,2018-2019
Burnley   ,Tottenham Hotspur  ,2,1,H,2018-2019
Leicester City   ,Crystal Palace  ,1,4,A,2018-2019
Newcastle United   ,Huddersfield Town AFC  ,2,0,H,2018-2019
Arsenal   ,Southampton  ,2,0,H,2018-2019
Manchester United   ,Liverpool  ,0,0,D,2018-2019
Cardiff City   ,Everton   ,0,3,A,2018-2019
Huddersfield Town AFC   ,Wolverhampton Wanderers  ,1,0,H,2018-2019
Leicester City   ,Brighton and Hove Albion  ,2,1,H,2018-2019
Newcastle United   ,Burnley  ,2,0,H,2018-2019
Arsenal   ,AFC Bournemouth  ,5,1,H,2018-2019
Chelsea   ,Tottenham Hotspur  ,2,0,H,2018-2019
Crystal Palace   ,Manchester United  ,1,3,A,2018-2019
Liverpool   ,Watford  ,5,0,H,2018-2019
Manchester City   ,West Ham United  ,1,0,H,2018-2019
Southampton   ,Fulham  ,2,0,H,2018-2019
AFC Bournemouth   ,Manchester City  ,0,1,A,2018-2019
Brighton and Hove Albion   ,Huddersfield Town AFC  ,1,0,H,2018-2019
Burnley   ,Crystal Palace  ,1,3,A,2018-2019
Manchester United   ,Southampton  ,3,2,H,2018-2019
Tottenham Hotspur   ,Arsenal  ,1,1,D,2018-2019
West Ham United   ,Newcastle United  ,2,0,H,2018-2019
Wolverhampton Wanderers   ,Cardiff City  ,2,0,H,2018-2019
Everton    ,Liverpool  ,0,0,D,2018-2019
Fulham   ,Chelsea  ,1,2,A,2018-2019
Watford   ,Leicester City  ,2,1,H,2018-2019
Cardiff City   ,West Ham United  ,2,0,H,2018-2019
Crystal Palace   ,Brighton and Hove Albion  ,1,2,A,2018-2019
Huddersfield Town AFC   ,AFC Bournemouth  ,0,2,A,2018-2019
Leicester City   ,Fulham  ,3,1,H,2018-2019
Manchester City   ,Watford  ,3,1,H,2018-2019
Newcastle United   ,Everton   ,3,2,H,2018-2019
Southampton   ,Tottenham Hotspur  ,2,1,H,2018-2019
Arsenal   ,Manchester United  ,2,0,H,2018-2019
Chelsea   ,Wolverhampton Wanderers  ,1,1,D,2018-2019
Liverpool   ,Burnley  ,4,2,H,2018-2019
AFC Bournemouth   ,Newcastle United  ,2,2,D,2018-2019
Burnley   ,Leicester City  ,1,2,A,2018-2019
West Ham United   ,Huddersfield Town AFC  ,4,3,H,2018-2019
Everton    ,Chelsea  ,2,0,H,2018-2019
Fulham   ,Liverpool  ,1,2,A,2018-2019
Brighton and Hove Albion   ,Southampton  ,0,1,A,2018-2019
Burnley   ,Wolverhampton Wanderers  ,2,0,H,2018-2019
Crystal Palace   ,Huddersfield Town AFC  ,1,2,A,2018-2019
Fulham   ,Manchester City  ,0,1,A,2018-2019
Leicester City   ,AFC Bournemouth  ,2,0,H,2018-2019
Manchester United   ,Watford  ,2,0,H,2018-2019
West Ham United   ,Everton   ,0,2,A,2018-2019
Cardiff City   ,Chelsea  ,2,0,H,2018-2019
Liverpool   ,Tottenham Hotspur  ,2,1,H,2018-2019
Arsenal   ,Newcastle United  ,2,0,H,2018-2019
Watford   ,Fulham  ,4,1,H,2018-2019
Wolverhampton Wanderers   ,Manchester United  ,2,1,H,2018-2019
Chelsea   ,Brighton and Hove Albion  ,3,0,H,2018-2019
Manchester City   ,Cardiff City  ,2,0,H,2018-2019
Tottenham Hotspur   ,Crystal Palace  ,2,0,H,2018-2019
Southampton   ,Liverpool  ,1,3,A,2018-2019
AFC Bournemouth   ,Burnley  ,1,3,A,2018-2019
Huddersfield Town AFC   ,Leicester City  ,1,4,A,2018-2019
